attack_vector,business_impact,business_risk_score,capec_id,compliance_impact,cwe_id,date_identified,date_last_updated,description,dread_score,evidence,exploitability,id,identified_by,impact_severity,impacted_asset_ids,impacted_component_ids,impacted_data_flow_ids,mitigations,owner,prerequisites,related_threat_ids,residual_risk,status,stride_category,title
,,5,[],set(),[],2025-09-26 05:20:28.341418,2025-09-26 05:20:28.341423,An attacker impersonates a legitimate user to gain unauthorized access to the application.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNNQ37Z7DC510D3KMAK,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['spoofing'],User Account Spoofing
,,5,[],set(),[],2025-09-26 05:20:28.342348,2025-09-26 05:20:28.342354,An attacker steals or predicts a valid session token to gain unauthorized access to user sessions.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNPE1DDJBGD2P6CPQXF,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['spoofing'],Session Hijacking
,,5,[],set(),[],2025-09-26 05:20:28.342596,2025-09-26 05:20:28.342601,An attacker manipulates SQL queries to access or modify sensitive data in the Azure SQL Database.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNPMVZYEEC7XBNFJ3CP,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['tampering'],SQL Injection
,,5,[],set(),[],2025-09-26 05:20:28.342732,2025-09-26 05:20:28.342736,"An attacker injects malicious scripts into web pages viewed by other users, potentially stealing cookies or session tokens.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNPT06JEA9YR6WF2QWQ,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['tampering'],Cross-Site Scripting (XSS)
,,5,[],set(),[],2025-09-26 05:20:28.342824,2025-09-26 05:20:28.342827,Sensitive data is intercepted during transmission due to lack of proper encryption.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNP1VTV6T8QF75N251S,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['information_disclosure'],Data Exposure in Transit
,,5,[],set(),[],2025-09-26 05:20:28.342909,2025-09-26 05:20:28.342912,"APIs between application components are not properly secured, allowing unauthorized access to sensitive data.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNP654YDCZWBFQEM17Z,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['elevation_of_privilege'],Insecure API Access
,,5,[],set(),[],2025-09-26 05:20:28.342986,2025-09-26 05:20:28.342989,"An attacker overwhelms the application with traffic, making it unavailable to legitimate users.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNPKFWB0X910JXEYTB9,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['denial_of_service'],Denial of Service (DoS) Attack
,,5,[],set(),[],2025-09-26 05:20:28.343062,2025-09-26 05:20:28.343066,"User inputs are not properly validated, leading to potential injection attacks or application crashes.","{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNQ3Y8MXC9JTE6RZ5Q8,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['tampering'],Improper Input Validation
,,5,[],set(),[],2025-09-26 05:20:28.343136,2025-09-26 05:20:28.343139,Misconfiguration of Azure services leads to unauthorized access to sensitive data stored in Azure Key Vault or Azure SQL Database.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNQS6SZKFW7XZ88PY0J,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['information_disclosure'],Data Breach due to Misconfigured Azure Services
,,5,[],set(),[],2025-09-26 05:20:28.343209,2025-09-26 05:20:28.343212,Lack of proper logging and monitoring makes it difficult to detect and respond to security incidents.,"{'damage': 1, 'reproducibility': 1, 'exploitability': 1, 'affected_users': 1, 'discoverability': 1}",[],Exploitability.MODERATE,01K627ECNQ2QASAH0PXKR91281,,ImpactSeverity.MEDIUM,set(),set(),set(),[],,[],set(),,ThreatStatus.IDENTIFIED,['repudiation'],Insufficient Logging and Monitoring
